date_time,timestamp,fm0229,fm0209
2026-03-05T05:20:21.000Z,1772688021,,
2026-03-05T05:20:22.000Z,1772688022,,
2026-03-05T05:20:23.000Z,1772688023,,
2026-03-05T05:20:24.000Z,1772688024,,
2026-03-05T05:20:25.000Z,1772688025,,
2026-03-05T05:20:26.000Z,1772688026,,
2026-03-05T05:20:27.000Z,1772688027,,
2026-03-05T05:20:28.000Z,1772688028,,
2026-03-05T05:20:29.000Z,1772688029,,
2026-03-05T05:20:30.000Z,1772688030,,
2026-03-05T05:20:31.000Z,1772688031,,
2026-03-05T05:20:32.000Z,1772688032,,
2026-03-05T05:20:33.000Z,1772688033,,
2026-03-05T05:20:34.000Z,1772688034,,
2026-03-05T05:20:35.000Z,1772688035,,
2026-03-05T05:20:36.000Z,1772688036,,
2026-03-05T05:20:37.000Z,1772688037,,
2026-03-05T05:20:38.000Z,1772688038,,
2026-03-05T05:20:39.000Z,1772688039,,
2026-03-05T05:20:40.000Z,1772688040,,
2026-03-05T05:20:41.000Z,1772688041,,
2026-03-05T05:20:42.000Z,1772688042,,
2026-03-05T05:20:43.000Z,1772688043,,
2026-03-05T05:20:44.000Z,1772688044,,
2026-03-05T05:20:45.000Z,1772688045,,
2026-03-05T05:20:46.000Z,1772688046,,
2026-03-05T05:20:47.000Z,1772688047,,
2026-03-05T05:20:48.000Z,1772688048,,
2026-03-05T05:20:49.000Z,1772688049,,
2026-03-05T05:20:50.000Z,1772688050,,
2026-03-05T05:20:51.000Z,1772688051,,
2026-03-05T05:20:52.000Z,1772688052,,
2026-03-05T05:20:53.000Z,1772688053,,
2026-03-05T05:20:54.000Z,1772688054,,
2026-03-05T05:20:55.000Z,1772688055,,
2026-03-05T05:20:56.000Z,1772688056,,
2026-03-05T05:20:57.000Z,1772688057,,
2026-03-05T05:20:58.000Z,1772688058,,
2026-03-05T05:20:59.000Z,1772688059,,
2026-03-05T05:21:00.000Z,1772688060,,
2026-03-05T05:21:01.000Z,1772688061,,
2026-03-05T05:21:02.000Z,1772688062,,
2026-03-05T05:21:03.000Z,1772688063,,
2026-03-05T05:21:04.000Z,1772688064,,
2026-03-05T05:21:05.000Z,1772688065,,
2026-03-05T05:21:06.000Z,1772688066,,
2026-03-05T05:21:07.000Z,1772688067,,
2026-03-05T05:21:08.000Z,1772688068,,
2026-03-05T05:21:09.000Z,1772688069,,
2026-03-05T05:21:10.000Z,1772688070,,
2026-03-05T05:21:11.000Z,1772688071,,
2026-03-05T05:21:12.000Z,1772688072,,
2026-03-05T05:21:13.000Z,1772688073,,
2026-03-05T05:21:14.000Z,1772688074,,
2026-03-05T05:21:15.000Z,1772688075,,
2026-03-05T05:21:16.000Z,1772688076,,
2026-03-05T05:21:17.000Z,1772688077,,
2026-03-05T05:21:18.000Z,1772688078,,
2026-03-05T05:21:19.000Z,1772688079,,
2026-03-05T05:21:20.000Z,1772688080,,
2026-03-05T05:21:21.000Z,1772688081,,
2026-03-05T05:21:22.000Z,1772688082,,
2026-03-05T05:21:23.000Z,1772688083,,
2026-03-05T05:21:24.000Z,1772688084,,
2026-03-05T05:21:25.000Z,1772688085,,
2026-03-05T05:21:26.000Z,1772688086,,
2026-03-05T05:21:27.000Z,1772688087,,
2026-03-05T05:21:28.000Z,1772688088,,
2026-03-05T05:21:29.000Z,1772688089,,
2026-03-05T05:21:30.000Z,1772688090,,
2026-03-05T05:21:31.000Z,1772688091,,
2026-03-05T05:21:32.000Z,1772688092,,
2026-03-05T05:21:33.000Z,1772688093,,
2026-03-05T05:21:34.000Z,1772688094,,
2026-03-05T05:21:35.000Z,1772688095,,
2026-03-05T05:21:36.000Z,1772688096,,
2026-03-05T05:21:37.000Z,1772688097,,
2026-03-05T05:21:38.000Z,1772688098,,
2026-03-05T05:21:39.000Z,1772688099,,
2026-03-05T05:21:40.000Z,1772688100,,
2026-03-05T05:21:41.000Z,1772688101,,
2026-03-05T05:21:42.000Z,1772688102,,
2026-03-05T05:21:43.000Z,1772688103,,
2026-03-05T05:21:44.000Z,1772688104,,
2026-03-05T05:21:45.000Z,1772688105,,
2026-03-05T05:21:46.000Z,1772688106,,
2026-03-05T05:21:47.000Z,1772688107,,
2026-03-05T05:21:48.000Z,1772688108,,
2026-03-05T05:21:49.000Z,1772688109,,
2026-03-05T05:21:50.000Z,1772688110,,
2026-03-05T05:21:51.000Z,1772688111,,
2026-03-05T05:21:52.000Z,1772688112,,
2026-03-05T05:21:53.000Z,1772688113,,
2026-03-05T05:21:54.000Z,1772688114,,
2026-03-05T05:21:55.000Z,1772688115,,
2026-03-05T05:21:56.000Z,1772688116,,
2026-03-05T05:21:57.000Z,1772688117,,
2026-03-05T05:21:58.000Z,1772688118,,
2026-03-05T05:21:59.000Z,1772688119,,
2026-03-05T05:22:00.000Z,1772688120,,
2026-03-05T05:22:01.000Z,1772688121,,
2026-03-05T05:22:02.000Z,1772688122,,
2026-03-05T05:22:03.000Z,1772688123,,
2026-03-05T05:22:04.000Z,1772688124,,
2026-03-05T05:22:05.000Z,1772688125,,
2026-03-05T05:22:06.000Z,1772688126,,
2026-03-05T05:22:07.000Z,1772688127,,
2026-03-05T05:22:08.000Z,1772688128,,
2026-03-05T05:22:09.000Z,1772688129,,
2026-03-05T05:22:10.000Z,1772688130,,
2026-03-05T05:22:11.000Z,1772688131,,
2026-03-05T05:22:12.000Z,1772688132,,
2026-03-05T05:22:13.000Z,1772688133,,
2026-03-05T05:22:14.000Z,1772688134,,
2026-03-05T05:22:15.000Z,1772688135,,
2026-03-05T05:22:16.000Z,1772688136,,
2026-03-05T05:22:17.000Z,1772688137,,
2026-03-05T05:22:18.000Z,1772688138,,
2026-03-05T05:22:19.000Z,1772688139,,
2026-03-05T05:22:20.000Z,1772688140,,
2026-03-05T05:22:21.000Z,1772688141,,
2026-03-05T05:22:22.000Z,1772688142,,
2026-03-05T05:22:23.000Z,1772688143,,
2026-03-05T05:22:24.000Z,1772688144,,
2026-03-05T05:22:25.000Z,1772688145,,
2026-03-05T05:22:26.000Z,1772688146,,
2026-03-05T05:22:27.000Z,1772688147,,
2026-03-05T05:22:28.000Z,1772688148,,
2026-03-05T05:22:29.000Z,1772688149,,
2026-03-05T05:22:30.000Z,1772688150,,
2026-03-05T05:22:31.000Z,1772688151,,
2026-03-05T05:22:32.000Z,1772688152,,
2026-03-05T05:22:33.000Z,1772688153,,
2026-03-05T05:22:34.000Z,1772688154,,
2026-03-05T05:22:35.000Z,1772688155,,
2026-03-05T05:22:36.000Z,1772688156,,
2026-03-05T05:22:37.000Z,1772688157,,
2026-03-05T05:22:38.000Z,1772688158,,
2026-03-05T05:22:39.000Z,1772688159,,
2026-03-05T05:22:40.000Z,1772688160,,
2026-03-05T05:22:41.000Z,1772688161,,
2026-03-05T05:22:42.000Z,1772688162,,
2026-03-05T05:22:43.000Z,1772688163,,
2026-03-05T05:22:44.000Z,1772688164,,
2026-03-05T05:22:45.000Z,1772688165,,
2026-03-05T05:22:46.000Z,1772688166,,
